Fecha;Medio;Año;Posición;Artista;Canción;Nacionalidad;Género
Noviembre;Radio;2021;81;Lalo Ebratt , Maluma;SUKUTUBLA;CO;Urbano
Noviembre;Radio;2021;82;Mora, Bad Bunny, Sech;VOLANDO (REMIX);SE, PR, PA;Urbano
Noviembre;Radio;2021;83;Mon Laferte;Amárrame Feat. Juanes;MX;Pop
Noviembre;Radio;2021;84;Gepe;Fruta Y Te;CL;Folk/Indie
Noviembre;Radio;2021;85;R.E.M.;Everybody Hurts;US;Rock
Noviembre;Radio;2021;86;Gepe;Hablar De Ti;CL;Folk/Indie
Noviembre;Radio;2021;87;Sofia Reyes, Becky G;Mal De Amores;MX, US;Pop
Noviembre;Radio;2021;88;Marc Anthony;Vivir Mi Vida;US;Latino/Tropical
Noviembre;Radio;2021;89;Los Vasquez;Juana Maria;CL;Latino/Tropical
Noviembre;Radio;2021;90;Darkiel, Jon Z , Alex Rose;La Importante;PR, US;Urbano
Noviembre;Radio;2021;91;Harry Styles;Adore You;GB;Pop
Noviembre;Radio;2021;92;Cami;Aquí Estoy;CL;Pop
Noviembre;Radio;2021;93;Camilo, El Alfa;Bebe;CO, DO;Pop
Noviembre;Radio;2021;94;Doja Cat;Woman [Explicit];US;Pop
Noviembre;Radio;2021;95;Karol G, Nicki Minaj;TUSA;CO, US;Urbano
Noviembre;Radio;2021;96;Daft Punk;Get Lucky Feat. Pharrell Williams;FR;Urbano
Noviembre;Radio;2021;97;Miley Cyrus Feat. Dua Lipa;Prisoner;US,GB;Pop
Noviembre;Radio;2021;98;Doja Cat Feat Sza;Kiss Me More;US;Pop
Noviembre;Radio;2021;99;Mon Laferte;El Beso;MX;Pop
Noviembre;Radio;2021;100;Cnco;Toa La Noche;US;Urbano
Diciembre;Radio;2021;1;Elton John, Dua Lipa;Cold Heart (PNAU Remix);GB, GB;Pop
Diciembre;Radio;2021;2;Farruko;Pepas;PR;Urbano
Diciembre;Radio;2021;3;Adele;Easy On Me;GB;Pop
Diciembre;Radio;2021;4;Sebastián Yatra;Tacones Rojos;CO;Pop
Diciembre;Radio;2021;5;Rauw Alejandro;Todo De Ti;PR;Urbano
Diciembre;Radio;2021;6;Maluma;Sobrio;CO;Urbano
Diciembre;Radio;2021;7;Camilo , Evaluna Montaner;Indigo;CO;Pop
Diciembre;Radio;2021;8;Coldplay, Bts;My Universe;GB, KR;Pop
Diciembre;Radio;2021;9;Carlos Vives, Ricky Martin;Cancion Bonita;CO, PR;Pop
Diciembre;Radio;2021;10;Sophie Ellis-Bextor;Murder On The Dancefloor;GB;Pop
Diciembre;Radio;2021;11;Ed Sheeran;Shivers;GB;Pop
Diciembre;Radio;2021;12;Bruno Mars, Anderson;Smokin Out The Window;US, US;Pop
Diciembre;Radio;2021;13;Marcianeke , Pailita;Dimelo Ma;CL;Urbano
Diciembre;Radio;2021;14;Ricky Martin , Paloma Mami;Que Rico Fuera;PR;Pop
Diciembre;Radio;2021;15;Zzoilo, Aitana;Mon Amour (Remix);ES, ES;Pop
Diciembre;Radio;2021;16;Paloma Mami;Cosas De La Vida;US;Urbano
Diciembre;Radio;2021;17;Harry Styles;Watermelon Sugar;GB;Pop
Diciembre;Radio;2021;18;Francisca Valenzuela;Castillo De Cristal;CL;Rock
Diciembre;Radio;2021;19;Dulce Compañía;Himno A San José;CL;Otro
Diciembre;Radio;2021;20;Sebastián Yatra, Myke Towers;Pareja Del Año;CO, PR;Pop
Diciembre;Radio;2021;21;Los Jaivas;Sube A Nacer Conmigo Hermano;CL;Rock
Diciembre;Radio;2021;22;José Luis Perales;Un Velero Llamado Libertad;ES;Latino/Tropical
Diciembre;Radio;2021;23;Luis Miguel;Frente A La Chimenea (Rudolph The Red Nosed Reindeer);MX;Pop
Diciembre;Radio;2021;24;Jose Feliciano;Feliz Navidad;US;Latino/Tropical
Diciembre;Radio;2021;25;Bad Bunny;Yonaguni;PR;Urbano
Diciembre;Radio;2021;26;Justin Bieber;Peaches Feat. Daniel Caesar, Giveon;CA;Pop
Diciembre;Radio;2021;27;Ed Sheeran;Bad Habits;GB;Pop
Diciembre;Radio;2021;28;José Feliciano;Feliz Navidad;US;Latino/Tropical
Diciembre;Radio;2021;29;Aventura, Bad Bunny;Volvi;US, PR;Latino/Tropical
Diciembre;Radio;2021;30;Jhay Cortez, Anuel Aa;Ley Seca;PR;Urbano
Diciembre;Radio;2021;31;Tiësto , Karol G;Don't Be Shy;NL;Electrónica
Diciembre;Radio;2021;32;Myke Towers;Almas Gemelas;PR;Urbano
Diciembre;Radio;2021;33;Luis Miguel;Va A Nevar (Let It Snow, Let It Snow, Let It Snow);MX;Pop
Diciembre;Radio;2021;34;Tini , Maria Becerra;Mienteme;AR;Pop
Diciembre;Radio;2021;35;Alejandro Sanz;Mares De Miel;ES;Pop
Diciembre;Radio;2021;36;Bruno Mars, Anderson .Paak;Leave The Door Open;US, US;Pop
Diciembre;Radio;2021;37;J Balvin, Skrillex;In Da Getto;CO, US;Urbano
Diciembre;Radio;2021;38;Darkiel, Jon Z , Alex Rose;La Importante;PR, US;Urbano
Diciembre;Radio;2021;39;Charles , Eddie;Would I Lie To You?;US;Pop
Diciembre;Radio;2021;40;Wisin, Jhay Cortez , Ozuna;Emojis De Corazones;PR, AR;Urbano
Diciembre;Radio;2021;41;Mon Laferte;Algo Es Mejor;MX;Pop
Diciembre;Radio;2021;42;Bruno Mars, Anderson .Paak, Silk Sonic;Skate;US, US, US;Pop
Diciembre;Radio;2021;43;Dua Lipa;Love Again;GB;Pop
Diciembre;Radio;2021;44;Francisca Valenzuela;Quiero Verte Más;CL;Rock
Diciembre;Radio;2021;45;R.E.M.;Everybody Hurts;US;Rock
Diciembre;Radio;2021;46;The Weeknd;Take My Breath;CA;Pop
Diciembre;Radio;2021;47;Los Auténticos Decadentes;Golpes En El Corazón;AR;Rock
Diciembre;Radio;2021;48;Eix, Kiko El Crazy, Chimbala;Desacatao;DO, DO;Urbano
Diciembre;Radio;2021;49;The Weeknd;Blinding Lights;CA;Pop
Diciembre;Radio;2021;50;Marc Anthony;Mala;US;Latino/Tropical
Diciembre;Radio;2021;51;Jorge González;Mi Casa En El Arbol;CL;Rock
Diciembre;Radio;2021;52;Coldplay;Viva La Vida;GB;Pop
Diciembre;Radio;2021;53;Nino Freestyle, Jon Z;Flow Challenge;DO, PR;Urbano
Diciembre;Radio;2021;54;Los Ángeles Azules, Nicki Nicole;Otra Noche;MX, AR;Latino/Tropical
Diciembre;Radio;2021;55;Queen;I Want To Break Free (Live At The Nepstadion, Budapest);GB;Rock
Diciembre;Radio;2021;56;Randy, Ape Drums;23;US, US;Urbano
Diciembre;Radio;2021;57;Dua Lipa;Don't Start Now;GB;Pop
Diciembre;Radio;2021;58;José Luis Perales;Y ¿Cómo Es Él?;ES;Latino/Tropical
Diciembre;Radio;2021;59;Mon Laferte;Tu Falta De Querer;MX;Pop
Diciembre;Radio;2021;60;Shania Twain;Man! I Feel Like A Woman!;CA;Pop
Diciembre;Radio;2021;61;J Balvin, Maria Becerra;Qué Más Pues?;CO, AR;Urbano
Diciembre;Radio;2021;62;Pharrell Williams;Happy;US;Pop
Diciembre;Radio;2021;63;Sech;Sal Y Perrea;PA;Urbano
Diciembre;Radio;2021;64;Coni Puelma, Vivanco;Fuego;CL;Urbano
Diciembre;Radio;2021;65;Luis Miguel;Navidad, Navidad (Jingle Bells);MX;Pop
Diciembre;Radio;2021;66;La Sonora De Tommy Rey;Un Año Mas;CL;Latino/Tropical
Diciembre;Radio;2021;67;Los Vasquez;Boquita Hechicera;CL;Latino/Tropical
Diciembre;Radio;2021;68;Olivia Rodrigo;Traitor;US;Pop
Diciembre;Radio;2021;69;Doja Cat;Woman [Explicit];US;Pop
Diciembre;Radio;2021;70;Camilo;Vida De Rico;CO;Pop
Diciembre;Radio;2021;71;Ed Sheeran;Shape Of You;GB;Pop
Diciembre;Radio;2021;72;Anto;Mis Nenas;GB;Urbano
Diciembre;Radio;2021;73;Dire Straits;Sultans Of Swing;GB;Rock
Diciembre;Radio;2021;74;Karol G;SEJODIOTO;CO;Urbano
Diciembre;Radio;2021;75;J. Balvin, Sech;Una Nota;CO, PA;Urbano
Diciembre;Radio;2021;76;Santaferia;Vamos A La Boti;CL;Latino/Tropical
Diciembre;Radio;2021;77;Daft Punk;Get Lucky Feat. Pharrell Williams;FR;Electrónica
Diciembre;Radio;2021;78;Maluma Feat. Rayvanny;Mama Tetema;CO;Urbano
Diciembre;Radio;2021;79;Sonora Palacios;Un Año Mas;CL;Latino/Tropical
Diciembre;Radio;2021;80;Natti Natasha , Becky G;Ram Pam Pam;DO;Urbano
Diciembre;Radio;2021;81;Rauw Alejandro;La Old Skul;PR;Urbano
Diciembre;Radio;2021;82;Harry Styles;Adore You;GB;Pop
Diciembre;Radio;2021;83;The Weeknd;Save Your Tears (With Ariana Grande) (Remix);CA;Pop
Diciembre;Radio;2021;84;Dua Lipa;LEVITATING;GB;Pop
Diciembre;Radio;2021;85;Sonora Palacios;Un Año Mas;CL;Latino/Tropical
Diciembre;Radio;2021;86;Diego Torres;Color Esperanza;AR;Pop
Diciembre;Radio;2021;87;Mora, Bad Bunny, Sech;VOLANDO (REMIX);SE, PR, PA;Urbano
Diciembre;Radio;2021;88;Sofia Reyes, Pedro Capó;Casualidad;MX, PR;Pop
Diciembre;Radio;2021;89;Monsieur Periné Feat. Vicente Ga;Nuestra Cancion;CO;Latino/Tropical
Diciembre;Radio;2021;90;Olivia Rodrigo;Drivers License;US;Pop
Diciembre;Radio;2021;91;Maluma;Hawai;CO;Urbano
Diciembre;Radio;2021;92;Jahzel, Gustavo Elis;Sin Maquillaje;VE;Latino/Tropical
Diciembre;Radio;2021;93;Gontte;Siempre Hay Mas;CL;Pop
Diciembre;Radio;2021;94;Francisca Valenzuela;Prenderemos Fuego Al Cielo;CL;Rock
Diciembre;Radio;2021;95;Tones And I;Dance Monkey;AU;Pop
Diciembre;Radio;2021;96;Marshmello, Jonas Bro;Leave Before You Love Me;US;Electrónica
Diciembre;Radio;2021;97;Denise Rosenthal;Agua Segura;CL;Pop
Diciembre;Radio;2021;98;Calvin Harris Feat Dua Lipa;One Kiss;GB;Pop
Diciembre;Radio;2021;99;Chichi Peralta;Procura;DO;Latino/Tropical
Diciembre;Radio;2021;100;Wisin , Los Legendarios;Playita;PR;Urbano
Enero;Radio;2022;1;Elton John, Dua Lipa;Cold Heart (PNAU Remix);GB, GB;Pop
Enero;Radio;2022;2;Farruko;Pepas;PR;Urbano
Enero;Radio;2022;3;SebastiÃ¡n Yatra;Tacones Rojos;CO;Pop
Enero;Radio;2022;4;Rauw Alejandro;Todo De Ti;PR;Urbano
Enero;Radio;2022;5;Adele;Easy On Me;GB;Pop
Enero;Radio;2022;6;Maluma;Sobrio;CO;Urbano
Enero;Radio;2022;7;Camilo, Evaluna Montaner;Indigo;ES, VE;Pop
Enero;Radio;2022;8;Zzoilo, Aitana;Mon Amour (Remix);ES, ES;Pop
Enero;Radio;2022;9;Donald;Verano Naranja;AR;Pop
Enero;Radio;2022;10;Coldplay, Bts;My Universe;GB, KR;Pop
Enero;Radio;2022;11;Bruno Mars, Anderson .P;Smokin Out The Window;US;Pop
Enero;Radio;2022;12;Harry Styles;Watermelon Sugar;GB;Pop
Enero;Radio;2022;13;Paloma Mami;Cosas De La Vida;US;Urbano
Enero;Radio;2022;14;Dua Lipa;Don't Start Now;GB;Pop
Enero;Radio;2022;15;Marc Anthony;Mala;US;Latino/Tropical
Enero;Radio;2022;16;Ed Sheeran;Shivers;GB;Pop
Enero;Radio;2022;17;Ed Sheeran;Bad Habits;GB;Pop
Enero;Radio;2022;18;Sophie Ellis-Bextor;Murder On The Dancefloor;GB;Pop
Enero;Radio;2022;19;Marcianeke, Pailita;Dimelo Ma;CL;Urbano
Enero;Radio;2022;20;Tini, Maria Becerra;Mienteme;AR, AR;Pop
Enero;Radio;2022;21;JosÃ© Luis Perales;Un Velero Llamado Libertad;ES;Latino/Tropical
Enero;Radio;2022;22;Aventura, Bad Bunny;Volvi;US, PR;Pop
Enero;Radio;2022;23;JosÃ© Luis Perales;Y Â¿CÃ³mo Es Ã‰l?;ES;Latino/Tropical
Enero;Radio;2022;24;Bad Bunny;Yonaguni;PR;Urbano
Enero;Radio;2022;25;Charles , Eddie;Would I Lie To You?;US;Pop
Enero;Radio;2022;26;The Weeknd;Blinding Lights;CA;Pop
Enero;Radio;2022;27;Ricky Martin, Paloma Mami;Que Rico Fuera;PR, US;Pop
Enero;Radio;2022;28;Jhay Cortez, Anuel Aa;Ley Seca;PR;Urbano
Enero;Radio;2022;29;Arte Elegante;En Las Malas Y Buenas;CL;Urbano
Enero;Radio;2022;30;Mon Laferte;Algo Es Mejor;MX;Pop
Enero;Radio;2022;31;Myke Towers;Almas Gemelas;PR;Urbano
Enero;Radio;2022;32;Eix, Kiko El Crazy, Chimbala;Desacatao;DO, DO;Urbano
Enero;Radio;2022;33;TiÃ«sto, Karol G;Don't Be Shy;NL, CO;Electrónica
Enero;Radio;2022;34;Bruno Mars, Anderson .Paak;Leave The Door Open;US, US;Pop
Enero;Radio;2022;35;Justin Bieber, Daniel Caesar, Giveon;Peaches Feat. Daniel Caesar, Giveon;CA, CA, US;Pop
Enero;Radio;2022;36;Santaferia;Vamos A La Boti;CL;Latino/Tropical
Enero;Radio;2022;37;Randy, Ape Drums;23;US, US;Urbano
Enero;Radio;2022;38;SebastiÃ¡n Yatra, Myke Towers;Pareja Del AÃ±o;CO, PR;Pop
Enero;Radio;2022;39;Mon Laferte;Tu Falta De Querer;MX;Pop
Enero;Radio;2022;40;Carlos Vives, Ricky Martin;Cancion Bonita;CO, PR;Pop
Enero;Radio;2022;41;J Balvin, Skrillex;In Da Getto;CO, US;Urbano
Enero;Radio;2022;42;Harry Styles;Adore You;GB;Pop
Enero;Radio;2022;43;Francisca Valenzuela;Castillo De Cristal;CL;Rock
Enero;Radio;2022;44;R.E.M.;Everybody Hurts;US;Pop
Enero;Radio;2022;45;Pharrell Williams;Happy;US;Pop
Enero;Radio;2022;46;Cami;Poca Fe;CL;Pop
Enero;Radio;2022;47;Los Ãngeles Azules, Nicki Nicole;Otra Noche;MX, AR;Latino/Tropical
Enero;Radio;2022;48;Olivia Rodrigo;Traitor;US;Pop
Enero;Radio;2022;49;Trueno;Dance Crip;AR;Urbano
Enero;Radio;2022;50;J. Balvin, Sech;Una Nota;CO, PA;Urbano
Enero;Radio;2022;51;Rauw Alejandro;La Old Skul;PR;Urbano
Enero;Radio;2022;52;Darkiel, Jon Z, Alex Rose;La Importante;PR, PR;Urbano
Enero;Radio;2022;53;Noche De Brujas;Me Gusta Todo De Ti;CL;Latino/Tropical
Enero;Radio;2022;54;Dua Lipa;Love Again;GB;Pop
Enero;Radio;2022;55;The Weeknd;Take My Breath;CA;Pop
Enero;Radio;2022;56;Ed Sheeran;Shape Of You;GB;Pop
Enero;Radio;2022;57;J Balvin, Maria Becerra;QuÃ© MÃ¡s Pues?;CO, AR;Urbano
Enero;Radio;2022;58;Sech, Daddy Yan;Sal Y Perrea (Remix) [Radio Edit];PA;Urbano
Enero;Radio;2022;59;Karol G;SEJODIOTO;CO;Urbano
Enero;Radio;2022;60;Shania Twain;Man! I Feel Like A Woman!;CA;Pop
Enero;Radio;2022;61;Doja Cat;Woman [Explicit];US;Pop
Enero;Radio;2022;62;MÃ¥neskin;Beggin';IT;Rock
Enero;Radio;2022;63;Coni Puelma, Vivanco;Fuego;CL;Pop
Enero;Radio;2022;64;Gontte;Siempre Hay Mas;CL;Pop
Enero;Radio;2022;65;Monsieur PerinÃ©, Vicente Ga;Nuestra Cancion;CO;Pop
Enero;Radio;2022;66;Dire Straits;Sultans Of Swing;GB;Rock
Enero;Radio;2022;67;Los AutÃ©nticos Decadentes;Golpes En El CorazÃ³n;AR;Rock
Enero;Radio;2022;68;Camilo;Vida De Rico;ES;Pop
Enero;Radio;2022;69;Daft Punk;Get Lucky Feat. Pharrell Williams;FR;Electrónica
Enero;Radio;2022;70;Tones And I;Dance Monkey;AU;Pop
Enero;Radio;2022;71;Nino Freestyle, Jon Z;Flow Challenge;DO, PR;Latino/Tropical
Enero;Radio;2022;72;Natti Natasha , Becky G;Ram Pam Pam;DO;Urbano
Enero;Radio;2022;73;Maluma;Hawai;CO;Urbano
Enero;Radio;2022;74;The Kid Laroi , Justin Bieber;Stay;AU;Pop
Enero;Radio;2022;75;Maluma, Rayvanny;Mama Tetema;CO, TZ;Urbano
Enero;Radio;2022;76;Mon Laferte;AmÃ¡rrame Feat. Juanes;MX;Pop
Enero;Radio;2022;77;Don Omar, Nio Garcia;Se Menea;PR, PR;Urbano
Enero;Radio;2022;78;The Weeknd;Save Your Tears (With Ariana Grande) (Remix);CA;Pop
Enero;Radio;2022;79;Mon Laferte;El Beso;MX;Pop
Enero;Radio;2022;80;Los Vasquez;Boquita Hechicera;CL;Latino/Tropical
Enero;Radio;2022;81;David Guetta , Sia;Let's Love;FR;Electrónica
Enero;Radio;2022;82;Jorge GonzÃ¡lez;Mi Casa En El Arbol;CL;Rock
Enero;Radio;2022;83;Natalie Imbruglia;Torn;AU;Rock
Enero;Radio;2022;84;Plumas;Cerca Del Sol;CL;Rock
Enero;Radio;2022;85;Tainy, Bad Bunny, Julieta Venegas;Lo Siento BB:/;PR, PR, MX;Urbano
Enero;Radio;2022;86;The Weeknd;Save Your Tears;CA;Pop
Enero;Radio;2022;87;Marcianeke;Que Pasa;CL;Urbano
Enero;Radio;2022;88;Wisin , Los Legendarios;Playita;PR;Urbano
Enero;Radio;2022;89;Farruko;El Incomprendido;PR;Urbano
Enero;Radio;2022;90;Dua Lipa;LEVITATING;GB;Pop
Enero;Radio;2022;91;Mora, Bad Bunny, Sech;VOLANDO (REMIX);SE, PR, PA;Urbano
Enero;Radio;2022;92;Coldplay;Viva La Vida;GB;Pop
Enero;Radio;2022;93;Miley Cyrus, Dua Lipa;Prisoner;US, GB;Pop
Enero;Radio;2022;94;Karol G, Nicki Minaj;TUSA;CO, US;Urbano
Enero;Radio;2022;95;Ilegales;Fiesta Caliente;ES;Latino/Tropical
Enero;Radio;2022;96;Los Bunkers;Bailando Solo;CL;Rock
Enero;Radio;2022;97;Santaferia;AlgÃºn DÃ­a VolverÃ¡s;CL;Latino/Tropical
Enero;Radio;2022;98;Denise Rosenthal;Agua Segura;CL;Pop
Enero;Radio;2022;99;Tiago Pzk, Lit Killah, Ma;ENTRE NOSOTROS REMIX;AR, FI;Urbano
Enero;Radio;2022;100;TiÃ«sto , Ava Max;The Motto;NL;Electrónica
Febrero;Radio;2022;1;Elton John, Dua Lipa;Cold Heart (PNAU Remix);GB, GB;Pop
Febrero;Radio;2022;2;Zzoilo, Aitana;Mon Amour (Remix);ES, ES;Pop
Febrero;Radio;2022;3;SebastiÃ¡n Yatra;Tacones Rojos;CO;Pop
Febrero;Radio;2022;4;Farruko;Pepas;PR;Urbano
Febrero;Radio;2022;5;Rauw Alejandro;Todo De Ti;PR;Urbano
Febrero;Radio;2022;6;Adele;Easy On Me;GB;Pop
Febrero;Radio;2022;7;Camilo, Evaluna Montaner;Indigo;ES, VE;Pop
Febrero;Radio;2022;8;Maluma;Sobrio;CO;Urbano
Febrero;Radio;2022;9;Coldplay, Bts;My Universe;GB, KR;Pop
Febrero;Radio;2022;10;Bruno Mars, Anderson .P;Smokin Out The Window;US;Pop
Febrero;Radio;2022;11;Harry Styles;Watermelon Sugar;GB;Pop
Febrero;Radio;2022;12;Paloma Mami;Cosas De La Vida;US;Urbano
Febrero;Radio;2022;13;Tini, Maria Becerra;Mienteme;AR, AR;Pop
Febrero;Radio;2022;14;Luciano Pereyra, Alejandro FernÃ¡ndez;Quedate;AR, MX;Folk/Indie
Febrero;Radio;2022;15;Carlos Vives, Ricky Martin;Cancion Bonita;CO, PR;Pop
Febrero;Radio;2022;16;Charles , Eddie;Would I Lie To You?;US;Pop
Febrero;Radio;2022;17;Wisin, Camilo, Los Legendarios;Buenos DÃ­as;PR, ES, PR;Urbano
Febrero;Radio;2022;18;Ed Sheeran;Shivers;GB;Pop
Febrero;Radio;2022;19;Aventura, Bad Bunny;Volvi;US, PR;Latino/Tropical
Febrero;Radio;2022;20;Ed Sheeran;Bad Habits;GB;Pop
Febrero;Radio;2022;21;Dua Lipa;Don't Start Now;GB;Pop
Febrero;Radio;2022;22;Myke Towers;Almas Gemelas;PR;Urbano
Febrero;Radio;2022;23;Marcianeke, Pailita;Dimelo Ma;CL;Urbano
Febrero;Radio;2022;24;The Weeknd;Blinding Lights;CA;Pop
Febrero;Radio;2022;25;Bruno Mars, Anderson .Paak;Leave The Door Open;US, US;Pop
Febrero;Radio;2022;26;Standly;Pegate;CL;Urbano
Febrero;Radio;2022;27;R.E.M.;Everybody Hurts;US;Rock
Febrero;Radio;2022;28;Blessd, Justin Quiles, Lenny TavÃ¡rez;Medallo;CO, PR, PR;Urbano
Febrero;Radio;2022;29;Bad Bunny;Yonaguni;PR;Urbano
Febrero;Radio;2022;30;Jhay Cortez, Anuel Aa;Ley Seca;PR;Urbano
Febrero;Radio;2022;31;Mon Laferte;Tu Falta De Querer;MX;Pop
Febrero;Radio;2022;32;Tiago Pzk, Lit Killah, Ma;ENTRE NOSOTROS REMIX;AR, FI;Urbano
Febrero;Radio;2022;33;Santaferia;Vamos A La Boti;CL;Latino/Tropical
Febrero;Radio;2022;34;Ricky Martin, Paloma Mami;Que Rico Fuera;PR, US;Pop
Febrero;Radio;2022;35;Marc Anthony;Mala;US;Latino/Tropical
Febrero;Radio;2022;36;Dua Lipa;Love Again;GB;Pop
Febrero;Radio;2022;37;Pharrell Williams;Happy;US;Pop
Febrero;Radio;2022;38;Cnco;Party, Humo Y Alcohol;US;Urbano
Febrero;Radio;2022;39;Randy, Ape Drums;23;US, US;Urbano
Febrero;Radio;2022;40;Los Ãngeles Azules, Nicki Nicole;Otra Noche;MX, AR;Latino/Tropical
Febrero;Radio;2022;41;Luis Fonsi, Manuel Turizo;Vacaciones;PR, CO;Pop
Febrero;Radio;2022;42;Rauw Alejandro, Chencho Corleone;Desesperados;PR, PR;Urbano
Febrero;Radio;2022;43;Eix, Kiko El Crazy, Chimbala;Desacatao;DO, DO;Urbano
Febrero;Radio;2022;44;The Weeknd;Take My Breath;CA;Pop
Febrero;Radio;2022;45;J Balvin, Skrillex;In Da Getto;CO, US;Urbano
Febrero;Radio;2022;46;TiÃ«sto, Ava Max;The Motto;NL, US;Electrónica
Febrero;Radio;2022;47;Harry Styles;Adore You;GB;Pop
Febrero;Radio;2022;48;TiÃ«sto, Karol G;Don't Be Shy;NL, CO;Electrónica
Febrero;Radio;2022;49;Sophie Ellis-Bextor;Murder On The Dancefloor;GB;Pop
Febrero;Radio;2022;50;J Balvin, Maria Becerra;QuÃ© MÃ¡s Pues?;CO, AR;Urbano
Febrero;Radio;2022;51;Rauw Alejandro;La Old Skul;PR;Urbano
Febrero;Radio;2022;52;Trueno;Dance Crip;AR;Urbano
Febrero;Radio;2022;53;Denise Rosenthal;Agua Segura;CL;Pop
Febrero;Radio;2022;54;Monsieur PerinÃ© Feat. Vicente Ga;Nuestra Cancion;CO;Latino/Tropical
Febrero;Radio;2022;55;Santaferia;AlgÃºn DÃ­a VolverÃ¡s;CL;Latino/Tropical
Febrero;Radio;2022;56;Dire Straits;Sultans Of Swing;GB;Rock
Febrero;Radio;2022;57;Shania Twain;Man! I Feel Like A Woman!;CA;Pop
Febrero;Radio;2022;58;Justin Bieber;Peaches Feat. Daniel Caesar, Giveon;CA;Pop
Febrero;Radio;2022;59;Farina;Adicta Al Perreo;CO;Urbano
Febrero;Radio;2022;60;The Weeknd;Save Your Tears (With Ariana Grande) (Remix);CA;Pop
Febrero;Radio;2022;61;Darkiel, Jon Z , Alex Rose;La Importante;PR, US;Urbano
Febrero;Radio;2022;62;Pablo AlborÃ¡n;Castillos De Arena;ES;Pop
Febrero;Radio;2022;63;SebastiÃ¡n Yatra, Myke Towers;Pareja Del AÃ±o;CO, PR;Urbano
Febrero;Radio;2022;64;Ed Sheeran;Shape Of You;GB;Pop
Febrero;Radio;2022;65;Karol G;SEJODIOTO;CO;Urbano
Febrero;Radio;2022;66;Daft Punk;Get Lucky Feat. Pharrell Williams;FR;Electrónica
Febrero;Radio;2022;67;Jorge GonzÃ¡lez;Mi Casa En El Arbol;CL;Rock
Febrero;Radio;2022;68;Justin Timberlake;CAN'T STOP THE FEELING! (Original Song From Dream;US;Pop
Febrero;Radio;2022;69;Ricky Martin;Otra Noche En L.A.;PR;Pop
Febrero;Radio;2022;70;Doja Cat;Woman [Explicit];US;Pop
Febrero;Radio;2022;71;Mon Laferte;Algo Es Mejor;MX;Pop
Febrero;Radio;2022;72;Mon Laferte;El Beso;MX;Pop
Febrero;Radio;2022;73;Arte Elegante;En Las Malas Y Buenas;CL;Urbano
Febrero;Radio;2022;74;Luis Miguel;Cuando Calienta El Sol;MX;Latino/Tropical
Febrero;Radio;2022;75;The Weeknd;Save Your Tears;CA;Pop
Febrero;Radio;2022;76;Gontte;Siempre Hay Mas;CL;Pop
Febrero;Radio;2022;77;Reik, Maria Becerra;Los Tragos;MX, AR;Pop
Febrero;Radio;2022;78;J. Balvin, Sech;Una Nota;CO, PA;Urbano
Febrero;Radio;2022;79;Mon Laferte;AmÃ¡rrame Feat. Juanes;MX;Pop
Febrero;Radio;2022;80;Los Vasquez;Boquita Hechicera;CL;Latino/Tropical
Febrero;Radio;2022;81;Camilo;Vida De Rico;ES;Pop
Febrero;Radio;2022;82;No Doubt;Don't Speak;US;Rock
Febrero;Radio;2022;83;Olivia Rodrigo;Traitor;US;Pop
Febrero;Radio;2022;84;Natalie Imbruglia;Torn;AU;Rock
Febrero;Radio;2022;85;Natti Natasha, Becky G;Ram Pam Pam;DO, US;Urbano
Febrero;Radio;2022;86;The Kid Laroi, Justin Bieber;Stay;AU, CA;Pop
Febrero;Radio;2022;87;Maluma;Hawai;CO;Urbano
Febrero;Radio;2022;88;Tones And I;Dance Monkey;AU;Pop
Febrero;Radio;2022;89;Chumbekes, Pollo GonzÃ¡lez;DE MAÃ‘ANITA;CL;Latino/Tropical
Febrero;Radio;2022;90;Sech, Daddy Yan;Sal Y Perrea (Remix) [Radio Edit];PA;Urbano
Febrero;Radio;2022;91;MÃ¥neskin;Beggin';IT;Rock
Febrero;Radio;2022;92;Maluma, Rayvanny;Mama Tetema;CO, TZ;Urbano
Febrero;Radio;2022;93;Mati GÃ³mez, Emilia;Tu Debilidad;SE;Urbano
Febrero;Radio;2022;94;Marcianeke;Que Pasa;CL;Urbano
Febrero;Radio;2022;95;The Weeknd;Sacrifice;CA;Pop
Febrero;Radio;2022;96;Kali Uchis;Telepatia;US;Pop
Febrero;Radio;2022;97;Karol G, Nicki Minaj;TUSA;CO, US;Urbano
Febrero;Radio;2022;98;Gepe;Hablar De Ti;CL;Folk/Indie
Febrero;Radio;2022;99;Doja Cat;Woman;US;Pop
Febrero;Radio;2022;100;Los Bunkers;Bailando Solo;CL;Rock
Marzo;Radio;2022;1;Elton John, Dua Lipa;Cold Heart (PNAU Remix);GB, GB;Pop
Marzo;Radio;2022;2;SebastiÃ¡n Yatra;Tacones Rojos;CO;Pop
Marzo;Radio;2022;3;Zzoilo, Aitana;Mon Amour (Remix);ES, ES;Pop
Marzo;Radio;2022;4;Farruko;Pepas;PR;Urbano
Marzo;Radio;2022;5;Becky G , Karol G;Mamiii;DE;Urbano
Marzo;Radio;2022;6;Standly;Pegate;CL;Urbano
Marzo;Radio;2022;7;Adele;Easy On Me;GB;Pop
Marzo;Radio;2022;8;Rauw Alejandro;Todo De Ti;PR;Urbano
